S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1502,12/05/2020,Himachal Pradesh,59,18,39,2
1503,13/05/2020,Himachal Pradesh,65,24,39,2
1504,14/05/2020,Himachal Pradesh,66,25,39,2
1505,15/05/2020,Himachal Pradesh,74,33,39,2
1506,16/05/2020,Himachal Pradesh,76,34,39,3
1507,17/05/2020,Himachal Pradesh,78,32,43,3
1508,18/05/2020,Himachal Pradesh,80,33,44,3
1509,19/05/2020,Himachal Pradesh,90,43,44,3
1510,20/05/2020,Himachal Pradesh,92,42,47,3
1511,21/05/2020,Himachal Pradesh,110,53,54,3
1512,22/05/2020,Himachal Pradesh,152,90,59,3
1513,23/05/2020,Himachal Pradesh,168,106,59,3
1514,24/05/2020,Himachal Pradesh,185,121,61,3
1515,25/05/2020,Himachal Pradesh,203,137,63,3
1516,26/05/2020,Himachal Pradesh,223,151,67,5
1517,27/05/2020,Himachal Pradesh,247,175,67,5
1518,28/05/2020,Himachal Pradesh,273,198,70,5
1519,29/05/2020,Himachal Pradesh,276,201,70,5
1520,30/05/2020,Himachal Pradesh,295,203,87,5
1521,31/05/2020,Himachal Pradesh,313,197,111,5
1522,01/06/2020,Himachal Pradesh,331,206,120,5
1523,02/06/2020,Himachal Pradesh,340,213,122,5
1524,03/06/2020,Himachal Pradesh,345,200,140,5
1525,04/06/2020,Himachal Pradesh,359,204,150,5
1526,05/06/2020,Himachal Pradesh,383,199,179,5
1527,06/06/2020,Himachal Pradesh,393,199,189,5
1528,07/06/2020,Himachal Pradesh,400,201,194,5
1529,08/06/2020,Himachal Pradesh,413,184,224,5
1530,09/06/2020,Himachal Pradesh,421,189,227,5
1531,10/06/2020,Himachal Pradesh,445,191,249,5
1532,11/06/2020,Himachal Pradesh,451,191,254,6
1533,12/06/2020,Himachal Pradesh,470,184,280,6
1534,13/06/2020,Himachal Pradesh,486,183,297,6
1535,14/06/2020,Himachal Pradesh,502,183,313,6
1536,15/06/2020,Himachal Pradesh,518,174,337,7
1537,16/06/2020,Himachal Pradesh,556,195,353,8
1538,17/06/2020,Himachal Pradesh,560,180,372,8
1539,18/06/2020,Himachal Pradesh,569,189,372,8
1540,19/06/2020,Himachal Pradesh,595,205,382,8
1541,20/06/2020,Himachal Pradesh,619,223,388,8
1542,21/06/2020,Himachal Pradesh,656,235,413,8
1543,22/06/2020,Himachal Pradesh,673,240,425,8
1544,23/06/2020,Himachal Pradesh,727,282,437,8
1545,24/06/2020,Himachal Pradesh,775,324,443,8
1546,25/06/2020,Himachal Pradesh,806,332,466,8
1547,26/06/2020,Himachal Pradesh,839,353,477,9
1548,27/06/2020,Himachal Pradesh,864,353,502,9
1549,28/06/2020,Himachal Pradesh,894,376,509,9
1550,29/06/2020,Himachal Pradesh,916,378,529,9
1551,30/06/2020,Himachal Pradesh,942,377,556,9
